波多野地瓜,f,嘴上说着大家随便骂吧其实心里还是不舍得你挨骂但是这个季后赛打的真的太烂了不是担心你技术下滑就怕你还意识不到自己的问题 不过我知道你是个心里有数的人 好好准备夏季赛 辜不辜负粉丝倒无所谓 希望你别辜负自己
L5443G,f,加油！！！
iG电子竞技俱乐部,f,大家都相信你，喜欢你！夏季赛加油！[加油][加油]
0O0O00OO,m,승록이 많이 수고했어요.우리는 항상 승록이 믿어요.어머니도 너무 적정하지 마세요.！！！
神神气气铲屎官,f,没关系，你要好好去看医生，我们夏季赛见！！
Adorey_,f,"“无论输赢成败 你那么好 我要一直喜欢你.<span class=""url-icon""><img alt=[心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/l_xin-6912791858.png"" style=""width:1em; height:1em;"" /></span>”"
易先生的小烊羔,f,辉煌时刻慕名而来，低谷时期也决不转身离去，但是今天看的我一脸懵了，殿军殿军殿军，加油加油加油。。 
一个人做的事_,f,我们有期望是因为你有那个能力，你很强。多和教练沟通，多和队友沟通。包袱别太重，这是个团队游戏，有些东西，改舍弃的就应该舍弃。漏点刀帮队友打开局面，牺牲点钱去买真眼，无所谓的，能赢比赛才是真理啊，shy哥。
苏苏难产粮,f,不要浪费你的天赋了，你是我第一个喜欢的电竞选手，我相信你是有能力的
姜宋羿,f,加油！好好休息好好调整！夏季赛见
不缺水zzz,f,shy哥加油呀，期待夏天更好的你[加油]
她家甜品真好吃,m,道歉没意义，希望不要再射手了，好好研究上单英雄，曾经无敌开团打团的你现在真的看不到了，要考虑整体阵容！加油吧，因为你休学时间有限，希望在lpl，在整个lol都永远光辉下去，真正的光辉时候退场，真的希望…教练也有问题，不能制止你们，那你就要克制自己了
utterNotASingleWord,f,别浪费自己的天赋与时间，shy哥，粉丝不重要，你们的成绩最重要啊！！
超级厉害的凡妹,f,shyshy加油！
姜落·,f,相信你会调整好自己的状态，要自信，加油！夏季赛会是一个更好的你！
Liuchxxi-,f,加油，去看看牙齿，好好恢复状态，我们等你回来。
TheShy_Fans联合应援博,f,趁着放假去医院看下牙齿。调整好状态我们夏季赛见
冬日的兔耳朵,f,"你一定要加油啊<span class=""url-icon""><img alt=[泪] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[泪] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;"" /></span>[加油][加油]我们相信你的"
阿媸是吃梨子长大的,f,希望在这一次生活的“毒打”之后，你能真正品尝到每一次胜利的得来不易，并以此为鉴继续前行。我会继续作为你的粉丝支持你的。
圈圈_YUANYUAN_天天,f,"相信你会努力调整！会继续支持你的，加油<span class=""url-icon""><img alt=[给你小心心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/qixi2018_xiaoxinxin-afb8c6ea83.png"" style=""width:1em; height:1em;"" /></span>"
鱼崽这波不亏,f,要自责，但是不能心态崩掉，可以找肉鸡聊聊天或者和朋友都可以。要反思，要适应版本，版本不会适应你，不可以沉迷手长打手短。要听教练的话，虽然不知道他到底有没有用。最后，这是五个人的游戏，三冠也是你的梦想，不辜负自己和队友就行。虽然生气，但还是相信你，希望你能正视自己的问题，好好改正。
