gigapuddig,f,东西没摔坏吧
小明明的小朋友,f,那别看RNG比赛了，我怕你气的站起来，好好休息
维特根斯坦yui,m,"简宝好好的为什么要在屋子里搬东西，早就跟你说了，屋子不行<span class=""url-icon""><img alt=[泪] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;"" /></span>"
一文卷宗,m,"脚砸紫了 暗示无紫不行<span class=""url-icon""><img alt=[doge] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" style=""width:1em; height:1em;"" /></span>"
虎牙直播,f,"简宝注意身体<span class=""url-icon""><img alt=[抱抱] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_baobao-b928ba5761.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[抱抱] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_baobao-b928ba5761.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[抱抱] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_baobao-b928ba5761.png"" style=""width:1em; height:1em;"" /></span>"
RNG电子竞技俱乐部,f,"好好休息，早日康复<span class=""url-icon""><img alt=[抱抱] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_baobao-b928ba5761.png"" style=""width:1em; height:1em;"" /></span>"
最强发型师伍六柒,m,好好休息
霍格沃茨年级第三十二,m,"小狗倒了<span class=""url-icon""><img alt=[泪] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;"" /></span>"
Orange_CZY,m,"好好休息<span class=""url-icon""><img alt=[泪] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;"" /></span>"
山药很软,m,引用去年GRF教练的话“rng不足为惧，只靠uzi一个人而已”
女权bo,f,好好休息小狗！！！👩👩爱你！！！
YangCccchen,m,枣 队危 锅大 勿归 连夜跑
全国最调皮,m,"一定要注意安全 破伤风打了吗<span class=""url-icon""><img alt=[允悲] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-9aa3c436a4.png"" style=""width:1em; height:1em;"" /></span>"
Kulaner,m,卧槽卧槽！！看着就好痛！！！！指甲盖！！好好休息  好好休息
多次拒绝BBH,f,"我以前说你是rng的核心是我错了 原来你是rng的亲爹<span class=""url-icon""><img alt=[太开心] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_taikaixin-97bd3f82d6.png"" style=""width:1em; height:1em;"" /></span>"
Moon鲲,m,枣，赶紧退役吧，这种垃圾队伍不值得你再为了他们拼一年，开开心心直播多好啊
怪兽虐韩杂,m,uzi你居然把他们带进了世界赛 怎么做到的啊
时光说他特别开心哈哈,m,哈哈哈哈哈哈哈哈哈给这个笑话给👴 整笑了 uzi排到宝蓝，对阿水说：你才是是世界第一AD 阿水排到rng四个人，反手回了uzi：不不不，您才是世界第一AD 
ajiucai,m,我听过最真诚不做作的一句话：皇族都是我carry。
Uzi粉丝后援团,m,"<a  href=""https://m.weibo.cn/p/index?extparam=Uzi&containerid=1008088ea22526ea6f80d1c6c731cbb1fb86db"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">Uzi</span></a> 小简儿要照顾好自己啊，算了不指望，还是指望<a href='/n/不知名最美狗nanny'>@不知名最美狗nanny</a>"
杨先生FORTWOME,m,好好养伤.但求你别退役.我现在身在国外.我想10月份回去看你打总决赛.也是对我的青春来一次告别.有越多的人黑你.骂你.就有越多的人喜欢你.在我眼里你拿不拿冠军不重要.想看你为了成功努力的过程.<a href='/n/UziQAQ'>@UziQAQ</a>
安燃燃燃嘛,f,注意身体啊！看着都好痛！
虎扑电竞,f,好好休息…
人间四月天R,m,如果你真的打算退役的话 作为粉丝的我有一个请求 能不能在退役前在打把比赛  你用vn让我认识了你 你在用vn结束你的职业生涯吧 有始有终，我代表大家拜托了。🙏
致花弋Y,m,"澡，队亡勿归，散伙饭<span class=""url-icon""><img alt=[doge] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" style=""width:1em; height:1em;"" /></span>"
咖喱God,m,狗，队危，勿回，友菜，快跑。
_lovewen_,m,看完今天的比赛，我只想说句uzi永远的神，佩服你能让这个菜比队进世界赛
M子瑞,m,一天，uzi排位匹配到了宝蓝，打完之后，默默的给jkl发私信说道:你才是世界第一ADC。不久后，jkl匹配到RNG4个队友，结束后，jkl回信说:不，您才是真正的世界第一ADC！
